('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Hospital em Chamas7288456224600377748613027372890359527816', 3, 31, 3, 11, 3, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1434755054701195143823209605029896925677', 1, 13, 8, 20, 6, 'ATIVO')
('EVENTO:', 'Resgate16257657027278259625866580048420287664994', 2, 16, 8, 22, 9, 'ATIVO')
('EVENTO:', 'Golpe de Estado6265815502466460691104850363685433465468', 2, 40, 8, 18, 12, 'ATIVO')
('EVENTO:', 'Assalto0248271926002214478338190104688992642685', 3, 20, 4, 16, 15, 'ATIVO')
('EVENTO:', 'Tiroteio18247975998444728735562555325578331210601', 1, 36, 5, 17, 18, 'ATIVO')
('EVENTO:', 'Briga1311341387615645880287564354090305541468', 2, 20, 4, 16, 21, 'ATIVO')
('EVENTO:', 'Individuo Suspeito815018140846254392087030189091064361587', 2, 6, 9, 13, 24, 'ATIVO')
('EVENTO:', 'Tiroteio18245001093713385710460521938384421433597', 3, 34, 8, 20, 27, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1055101137302064525720805294633947161883', 3, 2, 10, 20, 30, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14332029238319187923349774454399292711522', 3, 29, 3, 21, 33, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1434755054701195143823209605029896925677', 1, 13, 8, 20, 34, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6265815502466460691104850363685433465468', 2, 40, 8, 18, 34, 'COMPLETO')
('EVENTO:', 'Tiroteio18245001093713385710460521938384421433597', 1, 34, 8, 20, 34, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7288456224600377748613027372890359527816', 3, 31, 3, 11, 35, 'COMPLETO')
('EVENTO:', 'Assalto070907218750011949210638787589814978734', 2, 34, 8, 20, 36, 'ATIVO')
('EVENTO:', 'Assalto0248271926002214478338190104688992642685', 1, 20, 4, 16, 38, 'COMPLETO')
