"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Briga171473119586764871071195889300656405019", 3, 42, 17, 29, 3, 0
"EVENTO:", "Briga171473119586764871071195889300656405019", 3, 42, 17, 29, 4, 1
"EVENTO:", "Briga1183629117249352306502738508504685617732", 2, 4, 16, 35, 6, 0
"EVENTO:", "Briga1183629117249352306502738508504685617732", 2, 4, 16, 35, 6, 1
"EVENTO:", "Individuo Suspeito8189921482158634550501333049080203360239", 2, 49, 21, 34, 9, 0
"EVENTO:", "Individuo Suspeito8189921482158634550501333049080203360239", 2, 49, 21, 34, 10, 1
"EVENTO:", "Individuo Suspeito8310352072424283660317873841485985189761", 1, 19, 16, 27, 12, 0
"EVENTO:", "Individuo Suspeito8310352072424283660317873841485985189761", 1, 19, 16, 27, 12, 1
"EVENTO:", "Joalheiria Roubada9184822457414777179049281586417549021094", 2, 61, 21, 34, 15, 0
"EVENTO:", "Joalheiria Roubada9184822457414777179049281586417549021094", 2, 61, 21, 34, 16, 1
"EVENTO:", "Tiroteio18110366419670820662682992015356232353545", 3, 67, 23, 36, 18, 0
"EVENTO:", "Tiroteio18110366419670820662682992015356232353545", 3, 67, 23, 36, 19, 1
"EVENTO:", "Navio Afundando1244299705711019338875886328510311164180", 1, 26, 17, 32, 21, 0
"EVENTO:", "Navio Afundando1244299705711019338875886328510311164180", 1, 26, 17, 32, 21, 1
"EVENTO:", "Fuga5256865674591569306534932420720772663795", 1, 56, 19, 29, 24, 0
"EVENTO:", "Fuga5256865674591569306534932420720772663795", 1, 56, 19, 29, 25, 1
"EVENTO:", "PM na \xc3\x81rea1460825942072432539655462130687965495850", 1, 4, 16, 35, 27, 0
"EVENTO:", "PM na \xc3\x81rea1460825942072432539655462130687965495850", 1, 4, 16, 35, 27, 1
"EVENTO:", "Ladr\xc3\xa3o1041020105654719830936463717721198078982", 3, 44, 19, 27, 30, 0
"EVENTO:", "Ladr\xc3\xa3o1041020105654719830936463717721198078982", 3, 44, 19, 27, 30, 1
"EVENTO:", "Mulher em Trabalho de Parto11139748775364563833997055395320625238445", 1, 27, 17, 30, 33, 0
"EVENTO:", "Mulher em Trabalho de Parto11139748775364563833997055395320625238445", 1, 27, 17, 30, 34, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13267643970902899290180998526010679361291", 2, 48, 23, 35, 36, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13267643970902899290180998526010679361291", 2, 48, 23, 35, 36, 1
"EVENTO:", "Tiroteio18129123135764951680677094835039210262383", 3, 32, 18, 25, 39, 0
"EVENTO:", "Tiroteio18129123135764951680677094835039210262383", 3, 32, 18, 25, 40, 1
"EVENTO:", "Golpe de Estado6122854843015206147809704250216860100292", 2, 19, 16, 27, 42, 0
"EVENTO:", "Golpe de Estado6122854843015206147809704250216860100292", 2, 19, 16, 27, 42, 1
"EVENTO:", "Exterm\xc3\xadnio4329043233451529279948177294501024865441", 3, 72, 16, 30, 45, 0
"EVENTO:", "Exterm\xc3\xadnio4329043233451529279948177294501024865441", 3, 72, 16, 30, 46, 1
"EVENTO:", "Assalto0252855986783596810826561770764202145519", 3, 49, 21, 34, 48, 0
"EVENTO:", "Assalto0252855986783596810826561770764202145519", 3, 49, 21, 34, 49, 1
"EVENTO:", "Assalto0203285096807657472252742408508850001683", 2, 15, 13, 24, 51, 0
"EVENTO:", "Assalto0203285096807657472252742408508850001683", 2, 15, 13, 24, 52, 1
"EVENTO:", "Fuga5202791246391390790210541139648367921721", 1, 18, 25, 32, 54, 0
"EVENTO:", "Fuga5202791246391390790210541139648367921721", 1, 18, 25, 32, 55, 1
"EVENTO:", "Assalto0125186867615482094414718664905125749391", 3, 62, 20, 30, 57, 0
"EVENTO:", "Assalto0125186867615482094414718664905125749391", 3, 62, 20, 30, 58, 1
"EVENTO:", "Quadrilha15332174500819226869003174951315804744395", 1, 7, 10, 30, 60, 0
"EVENTO:", "Quadrilha15332174500819226869003174951315804744395", 1, 7, 10, 30, 60, 1
"EVENTO:", "Mulher em Trabalho de Parto11298736977584711510304436394517404795922", 1, 6, 16, 27, 63, 0
"EVENTO:", "Mulher em Trabalho de Parto11298736977584711510304436394517404795922", 1, 6, 16, 27, 64, 1
"EVENTO:", "Individuo Suspeito811759232719346907433171791891696931822", 2, 19, 16, 27, 66, 0
