('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Soldado Ferido17126272917135492192491258180341787253635', 2, 4, 5, 5, 3, 'ATIVO')
('EVENTO:', 'Soldado Ferido17126272917135492192491258180341787253635', 2, 4, 5, 5, 3, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1326980245404611861397509270517972998961', 2, 1, 5, 5, 6, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1326980245404611861397509270517972998961', 2, 1, 5, 5, 7, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4210048045004031506592614072684121740497', 2, 12, 4, 8, 9, 'ATIVO')
('EVENTO:', 'Exterm\xc3\xadnio4210048045004031506592614072684121740497', 2, 12, 4, 8, 9, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13321917864055865392595098938123833426343', 1, 4, 5, 5, 12, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13321917864055865392595098938123833426343', 1, 4, 5, 5, 12, 'COMPLETO')
('EVENTO:', 'Fuga512176521527684089344292460013204604491', 3, 4, 5, 5, 15, 'ATIVO')
('EVENTO:', 'Fuga512176521527684089344292460013204604491', 3, 4, 5, 5, 15, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11122176865298646414918773397563962634461', 1, 7, 5, 8, 18, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11122176865298646414918773397563962634461', 1, 7, 5, 8, 19, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1044056042282336758519568059020787509810', 3, 5, 4, 9, 21, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1044056042282336758519568059020787509810', 3, 5, 4, 9, 21, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9214342939865766646267803919447913295918', 2, 4, 5, 5, 24, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9214342939865766646267803919447913295918', 2, 4, 5, 5, 24, 'COMPLETO')
('EVENTO:', 'Golpe de Estado621320787719133587810431394939426774235', 3, 9, 4, 5, 27, 'ATIVO')
('EVENTO:', 'Golpe de Estado621320787719133587810431394939426774235', 3, 9, 4, 5, 27, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13103118067134346999315790796141947513945', 1, 8, 5, 5, 30, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13103118067134346999315790796141947513945', 1, 8, 5, 5, 31, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11253648919396296297931003195375505682986', 1, 12, 4, 8, 33, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11253648919396296297931003195375505682986', 1, 12, 4, 8, 33, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11310384041649766223150479573164301358905', 2, 11, 4, 8, 36, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11310384041649766223150479573164301358905', 2, 11, 4, 8, 36, 'COMPLETO')
('EVENTO:', 'Quadrilha15287381713222128667763360655350381360224', 1, 4, 5, 5, 39, 'ATIVO')
('EVENTO:', 'Quadrilha15287381713222128667763360655350381360224', 1, 4, 5, 5, 39, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1474216594331021940705590584645103284252', 2, 14, 2, 8, 42, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1474216594331021940705590584645103284252', 2, 14, 2, 8, 44, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3137713237005491456698473829564608571264', 1, 11, 4, 8, 45, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3137713237005491456698473829564608571264', 1, 11, 4, 8, 45, 'COMPLETO')
