'versao', 'n_vertices', 'chance_aresta', 'alfa', 'beta', 'iteracoes', 'qtdFormigas', 'rodadas', 'algoritmo_formiga', 'reduz_grafo', 'calcula_path'
1,105,0.6,0.1,2.5,50,20,1000,1,1,1
2,105,0.7,0.2,2.6,50,20,1000,1,1,1
3,105,0.8,0.3,2.7,50,20,1000,1,1,1
4,105,0.9,0.4,2.8,50,20,1000,1,1,1
5,105,0.10,0.5,2.9,50,20,1000,1,1,1
6,105,0.11,0.6,2.10,50,20,1000,1,1,1
7,105,0.12,0.7,2.11,50,20,1000,1,1,1
8,105,0.13,0.8,2.12,50,20,1000,1,1,1
9,105,0.14,0.9,2.13,50,20,1000,1,1,1
10,105,0.15,0.10,2.14,50,20,1000,1,1,1
