('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Navio Afundando12113274051459278311197705093050010310157', 2, 6, 4, 8, 3, 'ATIVO')
('EVENTO:', 'Navio Afundando12113274051459278311197705093050010310157', 2, 6, 4, 8, 3, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11112966932729409761455712973447342843512', 3, 13, 2, 5, 6, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11112966932729409761455712973447342843512', 3, 13, 2, 5, 8, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10158257515228514641744637361994210646456', 1, 6, 4, 8, 9, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10158257515228514641744637361994210646456', 1, 6, 4, 8, 9, 'COMPLETO')
('EVENTO:', 'Briga1237042239197353532717723862994678899144', 2, 1, 4, 9, 12, 'ATIVO')
('EVENTO:', 'Briga1237042239197353532717723862994678899144', 2, 1, 4, 9, 13, 'COMPLETO')
('EVENTO:', 'Fuga594606147590886253728521321037330293453', 2, 9, 3, 6, 15, 'ATIVO')
('EVENTO:', 'Fuga594606147590886253728521321037330293453', 2, 9, 3, 6, 15, 'COMPLETO')
('EVENTO:', 'Quadrilha15320952055004165405164113803183789251044', 1, 4, 3, 3, 18, 'ATIVO')
('EVENTO:', 'Quadrilha15320952055004165405164113803183789251044', 1, 4, 3, 3, 20, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2214662227414464423397983941050087748695', 1, 4, 3, 3, 21, 'ATIVO')
('EVENTO:', 'Corrida de Rua2214662227414464423397983941050087748695', 1, 4, 3, 3, 23, 'COMPLETO')
('EVENTO:', 'Assalto0132173716684263393833339015856727917498', 3, 2, 3, 7, 24, 'ATIVO')
('EVENTO:', 'Assalto0132173716684263393833339015856727917498', 3, 2, 3, 7, 24, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13110828016813620612026002521288684947772', 1, 9, 3, 6, 27, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13110828016813620612026002521288684947772', 1, 9, 3, 6, 27, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1395253082397997276568109028545408367887', 2, 3, 4, 6, 30, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1395253082397997276568109028545408367887', 2, 3, 4, 6, 30, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17205560375898338849001685339163788475597', 3, 13, 2, 5, 33, 'ATIVO')
('EVENTO:', 'Soldado Ferido17205560375898338849001685339163788475597', 3, 13, 2, 5, 35, 'COMPLETO')
('EVENTO:', 'Quadrilha15122154252941075122749554730838210867728', 2, 6, 4, 8, 36, 'ATIVO')
('EVENTO:', 'Quadrilha15122154252941075122749554730838210867728', 2, 6, 4, 8, 36, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19130966948591226711523543730913077997696', 3, 11, 3, 3, 39, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19130966948591226711523543730913077997696', 3, 11, 3, 3, 41, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o354359929705153843940932364615722810504', 3, 9, 3, 6, 42, 'ATIVO')
