"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Joalheiria Roubada926047981595778036361124197097016981315", 1, 35, 7, 16, 3, "ATIVO"
"EVENTO:", "Joalheiria Roubada926047981595778036361124197097016981315", 1, 35, 7, 16, 5, "COMPLETO"
"EVENTO:", "Golpe de Estado675000834432890816297984281821983046584", 3, 30, 2, 16, 6, "ATIVO"
"EVENTO:", "Golpe de Estado675000834432890816297984281821983046584", 3, 30, 2, 16, 7, "COMPLETO"
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1395505236896593907817852025331164363032", 1, 27, 4, 22, 9, "ATIVO"
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1395505236896593907817852025331164363032", 1, 27, 4, 22, 9, "COMPLETO"
"EVENTO:", "Joalheiria Roubada951892547428953810773379116727835152097", 2, 8, 7, 17, 12, "ATIVO"
"EVENTO:", "Joalheiria Roubada951892547428953810773379116727835152097", 2, 8, 7, 17, 13, "COMPLETO"
"EVENTO:", "Resgate16157517514264424083976639080657975510565", 1, 22, 5, 15, 15, "ATIVO"
"EVENTO:", "Resgate16157517514264424083976639080657975510565", 1, 22, 5, 15, 16, "COMPLETO"
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13242575953899393238967091565252075990371", 3, 38, 6, 16, 18, "ATIVO"
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13242575953899393238967091565252075990371", 3, 38, 6, 16, 20, "COMPLETO"
"EVENTO:", "Golpe de Estado611108298136912806112447565157647206233", 1, 27, 4, 22, 21, "ATIVO"
"EVENTO:", "Golpe de Estado611108298136912806112447565157647206233", 1, 27, 4, 22, 21, "COMPLETO"
"EVENTO:", "Golpe de Estado6259492942851760034667294312343170768168", 2, 9, 7, 19, 24, "ATIVO"
"EVENTO:", "Golpe de Estado6259492942851760034667294312343170768168", 2, 9, 7, 19, 25, "COMPLETO"
"EVENTO:", "Navio Afundando12115791006098462197649072977824258855999", 3, 25, 7, 19, 27, "ATIVO"
"EVENTO:", "Navio Afundando12115791006098462197649072977824258855999", 3, 25, 7, 19, 27, "COMPLETO"
"EVENTO:", "Ladr\xc3\xa3o109112787346898459811737331668057351211", 2, 34, 10, 13, 30, "ATIVO"
"EVENTO:", "Ladr\xc3\xa3o109112787346898459811737331668057351211", 2, 34, 10, 13, 31, "COMPLETO"
"EVENTO:", "Exterm\xc3\xadnio4122044322706621144955074567932667848436", 2, 31, 5, 13, 33, "ATIVO"
"EVENTO:", "Exterm\xc3\xadnio4122044322706621144955074567932667848436", 2, 31, 5, 13, 33, "COMPLETO"
"EVENTO:", "Fuga5201250775167116888804657065584425846788", 3, 36, 6, 19, 36, "ATIVO"
"EVENTO:", "Fuga5201250775167116888804657065584425846788", 3, 36, 6, 19, 37, "COMPLETO"
"EVENTO:", "Hospital em Chamas7169388147962270779668911489162678926210", 3, 26, 3, 15, 39, "ATIVO"
"EVENTO:", "Hospital em Chamas7169388147962270779668911489162678926210", 3, 26, 3, 15, 41, "COMPLETO"
"EVENTO:", "Soldado Ferido17277618841241928135700548515737712046283", 1, 6, 11, 19, 42, "ATIVO"
"EVENTO:", "Soldado Ferido17277618841241928135700548515737712046283", 1, 6, 11, 19, 43, "COMPLETO"
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial13214846720806224739220341993660064197849", 1, 29, 6, 17, 45, "ATIVO"
