('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Fuga59772503600741314569278915177999491818', 1, 59, 4, 24, 3, 'ATIVO')
('EVENTO:', 'Fuga59772503600741314569278915177999491818', 1, 59, 4, 24, 5, 'COMPLETO')
('EVENTO:', 'Fuga5124962328235576558949987987396239182974', 2, 15, 10, 16, 6, 'ATIVO')
('EVENTO:', 'Fuga5124962328235576558949987987396239182974', 2, 15, 10, 16, 8, 'COMPLETO')
('EVENTO:', 'Briga111198101379323519368703589838698609288', 3, 57, 4, 21, 9, 'ATIVO')
('EVENTO:', 'Briga111198101379323519368703589838698609288', 3, 57, 4, 21, 9, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14209995851348381486973986453254844295512', 2, 50, 7, 22, 12, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14209995851348381486973986453254844295512', 2, 50, 7, 22, 13, 'COMPLETO')
('EVENTO:', 'Tiroteio18301992263510817207871548439416169342763', 1, 53, 3, 19, 15, 'ATIVO')
('EVENTO:', 'Tiroteio18301992263510817207871548439416169342763', 1, 53, 3, 19, 16, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6286287558549309323671640010361536737254', 3, 53, 3, 19, 18, 'ATIVO')
('EVENTO:', 'Golpe de Estado6286287558549309323671640010361536737254', 3, 53, 3, 19, 19, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6189781625664171266625509325999446943127', 3, 33, 9, 23, 21, 'ATIVO')
('EVENTO:', 'Golpe de Estado6189781625664171266625509325999446943127', 3, 33, 9, 23, 23, 'COMPLETO')
('EVENTO:', 'Fuga5282920748572427009488322511533921258824', 1, 26, 9, 18, 24, 'ATIVO')
('EVENTO:', 'Fuga5282920748572427009488322511533921258824', 1, 26, 9, 18, 24, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6187102570508874026739447689702148387817', 3, 9, 12, 25, 27, 'ATIVO')
('EVENTO:', 'Golpe de Estado6187102570508874026739447689702148387817', 3, 9, 12, 25, 29, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8181535390942404243438371559528913804382', 2, 43, 8, 36, 30, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8181535390942404243438371559528913804382', 2, 43, 8, 36, 31, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19234569460619044336809300198450337713481', 2, 42, 9, 22, 33, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19234569460619044336809300198450337713481', 2, 42, 9, 22, 35, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1041604460384258768904248062977299650235', 1, 58, 2, 23, 36, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1041604460384258768904248062977299650235', 1, 58, 2, 23, 38, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7199191161242512996088417338107924628462', 2, 30, 9, 20, 39, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7199191161242512996088417338107924628462', 2, 30, 9, 20, 39, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11106092962414996135532968817316807099200', 3, 25, 11, 33, 42, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11106092962414996135532968817316807099200', 3, 25, 11, 33, 42, 'COMPLETO')
('EVENTO:', 'Assalto0140679855658411017829190394908975921438', 1, 49, 7, 24, 45, 'ATIVO')
('EVENTO:', 'Assalto0140679855658411017829190394908975921438', 1, 49, 7, 24, 45, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17130871632754877185077179966431702981667', 1, 37, 7, 23, 48, 'ATIVO')
('EVENTO:', 'Soldado Ferido17130871632754877185077179966431702981667', 1, 37, 7, 23, 48, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2166833779596207995568322023584687175598', 3, 23, 14, 29, 51, 'ATIVO')
('EVENTO:', 'Corrida de Rua2166833779596207995568322023584687175598', 3, 23, 14, 29, 51, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6339508917299539614510004245696154372398', 2, 43, 8, 36, 54, 'ATIVO')
('EVENTO:', 'Golpe de Estado6339508917299539614510004245696154372398', 2, 43, 8, 36, 55, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9320675935263851154097702150894871347760', 1, 41, 11, 22, 57, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9320675935263851154097702150894871347760', 1, 41, 11, 22, 58, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2286903974238875506136460383745353957579', 1, 56, 3, 23, 60, 'ATIVO')
('EVENTO:', 'Corrida de Rua2286903974238875506136460383745353957579', 1, 56, 3, 23, 61, 'COMPLETO')
('EVENTO:', 'Resgate16300708774846840474628856125216499565804', 2, 3, 9, 15, 63, 'ATIVO')
('EVENTO:', 'Resgate16300708774846840474628856125216499565804', 2, 3, 9, 15, 64, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13258763063816530279497106827225198836978', 1, 36, 11, 22, 66, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13258763063816530279497106827225198836978', 1, 36, 11, 22, 68, 'COMPLETO')
('EVENTO:', 'Tiroteio18250445538984966123767840512586249199411', 3, 1, 9, 19, 69, 'ATIVO')
('EVENTO:', 'Tiroteio18250445538984966123767840512586249199411', 3, 1, 9, 19, 70, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10244720024367926945129500316218684942261', 3, 41, 11, 22, 72, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10244720024367926945129500316218684942261', 3, 41, 11, 22, 73, 'COMPLETO')
('EVENTO:', 'Briga1110714991853230260822279319974722476551', 1, 21, 13, 23, 75, 'ATIVO')
('EVENTO:', 'Briga1110714991853230260822279319974722476551', 1, 21, 13, 23, 76, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9239629319602009524161130677026077750271', 2, 43, 8, 36, 78, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9239629319602009524161130677026077750271', 2, 43, 8, 36, 79, 'COMPLETO')
('EVENTO:', 'Briga120164059564186583278218147067537304321', 1, 23, 14, 29, 81, 'ATIVO')
