('QTD DE FORMIGAS: ', 20)
('QTD DE HQs: ', 3)
('QTD DE Abelhas: ', 4)
('NOME ', 'COL-21V', ' | LOCAL: ', 13)
('NOME ', 'COL-19T', ' | LOCAL: ', 5)
('NOME ', 'COL-12M', ' | LOCAL: ', 2)
('PRE REDUZ GRAFO: ', {0: 4, 1: 8, 2: 6, 3: 5, 4: 8, 5: 5, 6: 5, 7: 6, 8: 4, 9: 6, 10: 6, 11: 9, 12: 7, 13: 6, 14: 9})
('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU', 'RODADAS', 'STATUS')
('EVENTO:', 'Briga1217746319683152064529713434682577914096', 1, 4, 5, 3, 'ATIVO')
('EVENTO:', 'Briga1217746319683152064529713434682577914096', 1, 4, 5, 3, 'COMPLETO')
('EVENTO:', 'Resgate16182672003194233521044547030088392954887', 3, 9, 5, 6, 'ATIVO')
('EVENTO:', 'Resgate16182672003194233521044547030088392954887', 3, 9, 5, 6, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10306660864371851663557860642849184032829', 1, 9, 5, 9, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10306660864371851663557860642849184032829', 1, 9, 5, 9, 'COMPLETO')
('EVENTO:', 'Tiroteio1879486234780251140329693827012289744250', 3, 6, 2, 12, 'ATIVO')
('EVENTO:', 'Tiroteio1879486234780251140329693827012289744250', 3, 6, 2, 14, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7173955945296857049089875193068856117113', 1, 2, 5, 15, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7173955945296857049089875193068856117113', 1, 2, 5, 15, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10318478969258076768201601638426645418694', 2, 13, 2, 18, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10318478969258076768201601638426645418694', 2, 13, 2, 18, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11111216768964157826787864855946244812665', 2, 10, 4, 21, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11111216768964157826787864855946244812665', 2, 10, 4, 22, 'COMPLETO')
('EVENTO:', 'Corrida de Rua23870905208263175805506167425569335432', 3, 3, 4, 24, 'ATIVO')
('EVENTO:', 'Corrida de Rua23870905208263175805506167425569335432', 3, 3, 4, 25, 'COMPLETO')
('EVENTO:', 'Quadrilha15267828718629059033932551478153537139866', 2, 3, 4, 27, 'ATIVO')
('EVENTO:', 'Quadrilha15267828718629059033932551478153537139866', 2, 3, 4, 28, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o106784251488335176157972718327210145387', 2, 13, 2, 30, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o106784251488335176157972718327210145387', 2, 13, 2, 30, 'COMPLETO')
('EVENTO:', 'Resgate1666268396598661116267882761815076750574', 1, 8, 3, 33, 'ATIVO')
('EVENTO:', 'Resgate1666268396598661116267882761815076750574', 1, 8, 3, 35, 'COMPLETO')
('EVENTO:', 'Navio Afundando12221470975802975263444345460492868255851', 3, 11, 3, 36, 'ATIVO')
('EVENTO:', 'Navio Afundando12221470975802975263444345460492868255851', 3, 11, 3, 37, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9262875844543118546322994947983593391005', 1, 7, 3, 39, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9262875844543118546322994947983593391005', 1, 7, 3, 41, 'COMPLETO')
('EVENTO:', 'Assalto0155882193296441933259994923519682704944', 1, 9, 5, 42, 'ATIVO')
('EVENTO:', 'Assalto0155882193296441933259994923519682704944', 1, 9, 5, 42, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1472216223872636513248389609071244628153', 1, 6, 2, 45, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1472216223872636513248389609071244628153', 1, 6, 2, 47, 'COMPLETO')
('EVENTO:', 'Assalto0259900373965458113872957004857241214326', 2, 1, 3, 48, 'ATIVO')
('EVENTO:', 'Assalto0259900373965458113872957004857241214326', 2, 1, 3, 49, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13246534483391614144806561614118821459722', 3, 6, 2, 51, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13246534483391614144806561614118821459722', 3, 6, 2, 53, 'COMPLETO')
('EVENTO:', 'Tiroteio18135297908467820287331428545216749701020', 1, 11, 3, 54, 'ATIVO')
('EVENTO:', 'Tiroteio18135297908467820287331428545216749701020', 1, 11, 3, 55, 'COMPLETO')
('EVENTO:', 'Resgate16176786085180615948220152464383197571192', 3, 11, 3, 57, 'ATIVO')
('EVENTO:', 'Resgate16176786085180615948220152464383197571192', 3, 11, 3, 58, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3320469610411374702429929377582180355518', 2, 10, 4, 60, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3320469610411374702429929377582180355518', 2, 10, 4, 61, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17312707914165843600018959509031328708397', 2, 2, 5, 63, 'ATIVO')
('EVENTO:', 'Soldado Ferido17312707914165843600018959509031328708397', 2, 2, 5, 63, 'COMPLETO')
('EVENTO:', 'Assalto0132319780644286310317587935837992837410', 2, 4, 5, 66, 'ATIVO')
('EVENTO:', 'Assalto0132319780644286310317587935837992837410', 2, 4, 5, 66, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3273686873312262588535863145064289407615', 2, 12, 3, 69, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3273686873312262588535863145064289407615', 2, 12, 3, 71, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1493162878378309645035976837761498254103', 1, 13, 2, 72, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1493162878378309645035976837761498254103', 1, 13, 2, 72, 'COMPLETO')
('EVENTO:', 'Assalto0205624556829270990301452833884860974680', 3, 1, 3, 75, 'ATIVO')
('EVENTO:', 'Assalto0205624556829270990301452833884860974680', 3, 1, 3, 76, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6154177021059195418277257224328275792816', 1, 9, 5, 78, 'ATIVO')
('EVENTO:', 'Golpe de Estado6154177021059195418277257224328275792816', 1, 9, 5, 78, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11146150685615454511007088195885247373221', 3, 6, 2, 81, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11146150685615454511007088195885247373221', 3, 6, 2, 83, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19206752443340719082840462545839370798571', 2, 5, 3, 84, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19206752443340719082840462545839370798571', 2, 5, 3, 84, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11119057601317876218085734977495762900713', 1, 4, 5, 87, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11119057601317876218085734977495762900713', 1, 4, 5, 87, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11339015121931902150870877240706846285477', 2, 8, 3, 90, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11339015121931902150870877240706846285477', 2, 8, 3, 92, 'COMPLETO')
('EVENTO:', 'Fuga521090785080114982103345798800846495957', 3, 5, 3, 93, 'ATIVO')
('EVENTO:', 'Fuga521090785080114982103345798800846495957', 3, 5, 3, 93, 'COMPLETO')
('EVENTO:', 'Quadrilha15220602817280578096748387592564835713746', 3, 3, 4, 96, 'ATIVO')
('EVENTO:', 'Quadrilha15220602817280578096748387592564835713746', 3, 3, 4, 97, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto1167683308194857908340568457056263792408', 2, 11, 3, 99, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto1167683308194857908340568457056263792408', 2, 11, 3, 100, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13270417375218170461332505215067038636341', 1, 10, 4, 102, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13270417375218170461332505215067038636341', 1, 10, 4, 103, 'COMPLETO')
('EVENTO:', 'Resgate16181692780848016946941291647674960219981', 3, 12, 3, 105, 'ATIVO')
('EVENTO:', 'Resgate16181692780848016946941291647674960219981', 3, 12, 3, 107, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3336449708537571357106450634066644589012', 1, 8, 3, 108, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3336449708537571357106450634066644589012', 1, 8, 3, 110, 'COMPLETO')
('EVENTO:', 'Fuga5171885423243093687036231894077811374221', 3, 4, 5, 111, 'ATIVO')
('EVENTO:', 'Fuga5171885423243093687036231894077811374221', 3, 4, 5, 111, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11133932391727385321711837769861794332157', 3, 5, 3, 114, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11133932391727385321711837769861794332157', 3, 5, 3, 114, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6115480001561878242166713400626628932615', 2, 14, 3, 117, 'ATIVO')
('EVENTO:', 'Golpe de Estado6115480001561878242166713400626628932615', 2, 14, 3, 119, 'COMPLETO')
('EVENTO:', 'Briga117883999076418524926642508095529497782', 2, 2, 5, 120, 'ATIVO')
('EVENTO:', 'Briga117883999076418524926642508095529497782', 2, 2, 5, 120, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14337164077044358344293742827533524433859', 2, 3, 4, 123, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14337164077044358344293742827533524433859', 2, 3, 4, 124, 'COMPLETO')
('EVENTO:', 'Briga1278671763399760930799121847339164579292', 1, 1, 3, 126, 'ATIVO')
('EVENTO:', 'Briga1278671763399760930799121847339164579292', 1, 1, 3, 127, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17256197724647533702782531432266100982100', 2, 12, 3, 129, 'ATIVO')
('EVENTO:', 'Soldado Ferido17256197724647533702782531432266100982100', 2, 12, 3, 131, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6173864608850082821311657159336871085557', 1, 11, 3, 132, 'ATIVO')
('EVENTO:', 'Golpe de Estado6173864608850082821311657159336871085557', 1, 11, 3, 133, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2175239171049829403390936501145518559542', 1, 7, 3, 135, 'ATIVO')
('EVENTO:', 'Corrida de Rua2175239171049829403390936501145518559542', 1, 7, 3, 137, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente1948829717411683649172267457199118538803', 2, 8, 3, 138, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente1948829717411683649172267457199118538803', 2, 8, 3, 140, 'COMPLETO')
